"Corpus","DV","N","n_speakers","eff_5_95_st","slope_per_100ms_st","sign_p5_minus_p95_st","direction_label","cor_numvalid","exceeds_JND_1.0","exceeds_JND_1.5"
"CSJ Monologue","raw_range",93156,31,2.162,0.4523,-2.193,"shrinks_when_fast",0.386,TRUE,TRUE
"CSJ Monologue","landmark",93151,31,1.757,0.2502,-1.783,"shrinks_when_fast",0.31,TRUE,TRUE
"Buckeye","raw_range",274271,40,1.976,0.5575,-2.009,"shrinks_when_fast",0.383,TRUE,TRUE
"Buckeye","landmark",274239,40,1.484,0.3845,-1.51,"shrinks_when_fast",0.309,TRUE,FALSE
"CSJ Dialogue","raw_range",24734,18,1.901,0.4397,-1.929,"shrinks_when_fast",0.441,TRUE,TRUE
"CSJ Dialogue","landmark",24732,18,1.441,0.2374,-1.464,"shrinks_when_fast",0.36,TRUE,FALSE
